# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 627K of event 'cycles:ppp'
# Event count (approx.): 433495634427
#
# Overhead  Command          Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..............................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.22%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::RandomAccessFileReader::Read
     0.21%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::PosixEnv::NowNanos
     0.21%  rocksdb:low0     [kernel.kallsyms]               [k] generic_file_read_iter
     0.21%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Insert<false>
     0.21%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUHandleTable::FindPointer
     0.21%  rocksdb:low0     [kernel.kallsyms]               [k] release_pages
     0.20%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Env::Default
     0.20%  read_bottleneck  [kernel.kallsyms]               [k] crc32c_pcl_intel_update
     0.20%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::RandomAccessFileReader::Read
     0.20%  rocksdb:low0     [kernel.kallsyms]               [k] __radix_tree_lookup
     0.20%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::SyncPoint::Data::Process
     0.19%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::OutputValidator::Add
     0.19%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_da_invalidatepage
     0.19%  rocksdb:low0     [kernel.kallsyms]               [k] free_pcppages_bulk
     0.19%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockFetcher::ReadBlockContents
     0.19%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::WritableFileWriter::Append
     0.19%  read_bottleneck  libpthread-2.27.so              [.] __pthread_mutex_lock
     0.18%  read_bottleneck  libc-2.27.so                    [.] malloc_consolidate
     0.18%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TableCache::Get
     0.18%  read_bottleneck  libpthread-2.27.so              [.] __pthread_mutex_unlock
     0.18%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::BytewiseComparatorImpl::Compare
     0.18%  read_bottleneck  read_bottleneck_breakdown_test  [.] TLS init function for rocksdb::perf_context
     0.18%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::NewDataBlockIterator<rocksdb::DataBlockIter>
     0.17%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::MaybeReadBlockAndLoadToCache<rocksdb::Block>
     0.17%  read_bottleneck  libstdc++.so.6.0.25             [.] __dynamic_cast
     0.17%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::DataBlockIter::SeekToFirstImpl
     0.17%  read_bottleneck  [kernel.kallsyms]               [k] generic_file_read_iter
     0.17%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::NotifyCollectTableCollectorsOnAdd
     0.16%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::Status::operator=
     0.16%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::FindGreaterOrEqual
     0.16%  read_bottleneck  libc-2.27.so                    [.] sched_getcpu
     0.16%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DataBlockIter::SeekImpl
     0.15%  read_bottleneck  [kernel.kallsyms]               [k] memset_erms
     0.15%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_bio_write_page
     0.15%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PointLockManager::UnLock
     0.15%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_do_update_inode
     0.14%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DataBlockIter::NextImpl
     0.14%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::WriteRawBlock
     0.14%  rocksdb:low0     libsnappy.so.1.1.7              [.] snappy::Compress
     0.14%  read_bottleneck  [kernel.kallsyms]               [k] __fget
     0.14%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::ok
     0.14%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CompactionIterator::PrepareOutput
     0.14%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WritableFileWriter::Append
     0.14%  rocksdb:high0    [kernel.kallsyms]               [k] copy_user_enhanced_fast_string
     0.14%  rocksdb:low0     [kernel.kallsyms]               [k] crypto_shash_update
     0.14%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::Next
     0.14%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CompactionJob::SubcompactionState::ShouldStopBefore
     0.13%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::FindBlockForward
     0.13%  rocksdb:high0    libsnappy.so.1.1.7              [.] snappy::internal::CompressFragment
     0.13%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::PosixEnv::NowMicros
     0.13%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::LevelIterator::status
     0.13%  rocksdb:low0     [kernel.kallsyms]               [k] new_slab
     0.13%  rocksdb:low0     [kernel.kallsyms]               [k] copy_page_to_iter
     0.13%  read_bottleneck  libstdc++.so.6.0.25             [.] __cxxabiv1::__si_class_type_info::__do_dyncast
     0.13%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::LevelIterator::NextAndGetResult
     0.13%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::CoreLocalArray<rocksdb::StatisticsImpl::StatisticsData>::AccessElementAndIndex
     0.13%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::IndexBlockIter::ParseNextIndexKey
     0.12%  rocksdb:low0     [kernel.kallsyms]               [k] find_get_entries
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::NewDataBlockIterator<rocksdb::DataBlockIter>
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WritableFileWriter::WriteBuffered
     0.12%  rocksdb:low0     [kernel.kallsyms]               [k] __test_set_page_writeback
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PointLockManager::GetLockMap
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] memcmp@plt
     0.12%  rocksdb:low0     [kernel.kallsyms]               [k] find_get_pages_range_tag
     0.12%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_da_get_block_prep
     0.12%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CoreLocalArray<rocksdb::StatisticsImpl::StatisticsData>::AccessElementAndIndex
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::SyncPoint::Data::Process
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::StatisticsImpl::recordTick
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::StopWatch::~StopWatch
     0.12%  rocksdb:low0     libc-2.27.so                    [.] sched_getcpu
     0.12%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::status
     0.12%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::RetrieveBlock<rocksdb::Block>
     0.12%  rocksdb:high0    libc-2.27.so                    [.] __memset_avx2_erms
     0.12%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::MemTable::Add
     0.11%  read_bottleneck  libstdc++.so.6.0.25             [.] operator new
     0.11%  rocksdb:low0     [kernel.kallsyms]               [k] iov_iter_fault_in_readable
     0.11%  read_bottleneck  [vdso]                          [.] __vdso_getcpu
     0.11%  rocksdb:low0     libstdc++.so.6.0.25             [.] operator new
     0.11%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::ReadBlockFromFile<rocksdb::Block>
     0.11%  read_bottleneck  [kernel.kallsyms]               [k] ext4_do_update_inode
     0.11%  rocksdb:low0     [kernel.kallsyms]               [k] __fget
     0.11%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_block_write_begin
     0.11%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WriteBatchInternal::Iterate
     0.11%  rocksdb:low0     libpthread-2.27.so              [.] __pthread_mutex_unlock
     0.11%  read_bottleneck  [kernel.kallsyms]               [k] copy_page_to_iter
     0.11%  read_bottleneck  [kernel.kallsyms]               [k] radix_tree_next_chunk
     0.11%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::InternalKeyComparator::FindShortestSeparator
     0.10%  rocksdb:low0     [kernel.kallsyms]               [k] start_this_handle
     0.10%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::FlushBlockBySizePolicy::Update
     0.10%  read_bottleneck  libc-2.27.so                    [.] __strlen_avx2
     0.10%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::FileMetaData::UpdateBoundaries
     0.10%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::StatisticsImpl::recordInHistogram
     0.10%  rocksdb:low0     [kernel.kallsyms]               [k] radix_tree_tag_set
     0.10%  rocksdb:low0     [kernel.kallsyms]               [k] jbd2_journal_stop
     0.10%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::StatisticsImpl::recordTick
     0.10%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_da_write_end
     0.10%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::MaybeReadBlockAndLoadToCache<rocksdb::Block>
     0.09%  rocksdb:low0     libpthread-2.27.so              [.] __pthread_mutex_lock
     0.09%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::ShortenedIndexBuilder::AddIndexEntry
     0.09%  read_bottleneck  [kernel.kallsyms]               [k] __block_commit_write.isra.34
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ThreadLocalPtr::Instance
     0.09%  read_bottleneck  [kernel.kallsyms]               [k] crypto_shash_update
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::ReadRecordFromWriteBatch
     0.09%  rocksdb:low0     [kernel.kallsyms]               [k] kmem_cache_free
     0.09%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::InternalKeyComparator::Compare
     0.09%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_da_write_begin
     0.09%  read_bottleneck  [kernel.kallsyms]               [k] entry_SYSCALL_64_after_hwframe
     0.09%  read_bottleneck  [kernel.kallsyms]               [k] __activate_page
     0.09%  rocksdb:low0     read_bottleneck_breakdown_test  [.] ROCKSDB_XXH3p_64bits
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DBImpl::GetImpl
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockIter<rocksdb::Slice>::CompareCurrentKey
     0.09%  rocksdb:low0     libstdc++.so.6.0.25             [.] memcpy@plt
     0.09%  rocksdb:low0     [kernel.kallsyms]               [k] clear_page_dirty_for_io
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::(anonymous namespace)::FilePicker::GetNextFile
     0.09%  read_bottleneck  [vdso]                          [.] 0x0000000000000974
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::KeyIsAfterNode
     0.09%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::HistogramStat::Add
     0.09%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.09%  rocksdb:low0     [kernel.kallsyms]               [k] mpage_process_page_bufs
     0.09%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::EvictFromLRU
     0.09%  rocksdb:low0     [kernel.kallsyms]               [k] _cond_resched
     0.09%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::CompactionIterator::Next
     0.08%  rocksdb:low0     [kernel.kallsyms]               [k] __mod_node_page_state
     0.08%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::CompressAndVerifyBlock
     0.08%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::KeyIsAfterNode
     0.08%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::StatisticsImpl::recordInHistogram
     0.08%  read_bottleneck  [kernel.kallsyms]               [k] jbd2_journal_stop
     0.08%  rocksdb:low0     [kernel.kallsyms]               [k] _raw_spin_lock
     0.08%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::MergingIterator::value
     0.08%  rocksdb:low0     [kernel.kallsyms]               [k] block_invalidatepage
     0.08%  rocksdb:low0     [vdso]                          [.] __vdso_getcpu
     0.08%  rocksdb:low0     libpthread-2.27.so              [.] __libc_pread64
     0.08%  rocksdb:low0     [kernel.kallsyms]               [k] __indirect_thunk_start
     0.08%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::Insert
     0.08%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::PosixRandomAccessFile::Read
     0.08%  rocksdb:low0     [kernel.kallsyms]               [k] pagecache_get_page
     0.08%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::SkipList<rocksdb::WriteBatchIndexEntry*, rocksdb::WriteBatchEntryComparator const&>::SkipList
     0.07%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.07%  read_bottleneck  libstdc++.so.6.0.25             [.] std::__detail::_Prime_rehash_policy::_M_next_bkt
     0.07%  rocksdb:low0     libsnappy.so.1.1.7              [.] snappy::RawCompress
     0.07%  read_bottleneck  [kernel.kallsyms]               [k] mark_page_accessed
     0.07%  read_bottleneck  libpthread-2.27.so              [.] __libc_pread64
     0.07%  rocksdb:high0    libc-2.27.so                    [.] cfree@GLIBC_2.2.5
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::HistogramStat::Add
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] drop_buffers
     0.07%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::IndexBlockIter::NextImpl
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] kmem_cache_alloc
     0.07%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBuilder::EstimateSizeAfterKV
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] radix_tree_tag_clear
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::WritableFileWriter::Flush
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PerfStepTimer::Stop
     0.07%  read_bottleneck  [kernel.kallsyms]               [k] ext4_da_write_end
     0.07%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::WriteBlock
     0.07%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::IndexValue::EncodeTo
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PointLockTracker::Track
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] rcu_all_qs
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] mark_buffer_dirty
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::DBImpl::WriteToWAL
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] __pagevec_lru_add_fn
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PessimisticTransactionDB::Put
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PessimisticTransaction::Commit
     0.07%  read_bottleneck  [kernel.kallsyms]               [k] ext4_da_write_begin
     0.07%  read_bottleneck  [kernel.kallsyms]               [k] fsnotify
     0.07%  read_bottleneck  [kernel.kallsyms]               [k] _cond_resched
     0.07%  rocksdb:low0     [kernel.kallsyms]               [k] ext4_inode_csum.isra.56
     0.07%  rocksdb:high0    read_bottleneck_breakdown_test  [.] rocksdb::crc32c::crc32c_3way
     0.07%  rocksdb:low0     libc-2.27.so                    [.] __strlen_avx2
     0.07%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Block::~Block
     0.07%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::value
     0.07%  read_bottleneck  [kernel.kallsyms]               [k] start_this_handle
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::PointLockManager::AcquireWithTimeout
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] __ext4_get_inode_loc
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableIterator::CheckOutOfBound
     0.06%  read_bottleneck  libstdc++.so.6.0.25             [.] std::_Hash_bytes
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] ROCKSDB_XXH3p_64bits
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::LRU_Insert
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTableBuilder::Flush
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::LRU_Remove
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] jbd2__journal_start
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] sys_pread64
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] try_charge
     0.06%  read_bottleneck  [vdso]                          [.] 0x0000000000000977
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] entry_SYSCALL_64_after_hwframe
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::Block::NewDataIterator
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] mark_page_accessed
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::Release
     0.06%  read_bottleneck  [kernel.kallsyms]               [k] common_file_perm
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::GetDataBlockFromCache<rocksdb::Block>
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::LRUCacheShard::Insert
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::Block::~Block
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::log::Writer::AddRecord
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] delete_from_page_cache_batch
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] find_get_pages_range
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] map_id_up
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::TransactionBaseImpl::TransactionBaseImpl
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] rocksdb::Block::Block
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] __radix_tree_create
     0.06%  read_bottleneck  [kernel.kallsyms]               [k] kmem_cache_alloc
     0.06%  read_bottleneck  [kernel.kallsyms]               [k] pagecache_get_page
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] rocksdb::BlockBasedTable::PutDataBlockToCache<rocksdb::Block>
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, rocksdb::LockInfo> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::erase
     0.06%  rocksdb:low0     [kernel.kallsyms]               [k] _raw_spin_lock_irqsave
     0.06%  rocksdb:low0     libc-2.27.so                    [.] __malloc_usable_size
     0.06%  read_bottleneck  [kernel.kallsyms]               [k] generic_perform_write
     0.06%  rocksdb:low0     [vdso]                          [.] __vdso_clock_gettime
     0.06%  rocksdb:low0     read_bottleneck_breakdown_test  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>
     0.06%  read_bottleneck  [kernel.kallsyms]               [k] get_page_from_freelist
     0.06%  read_bottleneck  read_bottleneck_breakdown_test  [.] clock_gettime@plt
     0.06%  rocksdb:low0     libstdc++.so.6.0.25             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create
